platform,software_a,software_b,tipo_evento,caso_uso_resumido,titulo_pagina,slug_url,descricao_curta,zap_template_url,passos_resumo,tags
zapier,HubSpot,Google Sheets,Contact,Backup de contatos,Como fazer backup de contatos HubSpot no Google Sheets usando Zapier,hubspot-para-google-sheets-zapier,Automatize backup de CRM HubSpot em planilhas. Segurança de dados via Zapier.,https://zapier.com/apps/hubspot/integrations/google-sheets,New/Updated Contact|Extract Properties|Append/Update Row|Timestamp,"crm,hubspot,dados,zapier"
zapier,HubSpot,Mailchimp,Contact,Sincronização de listas,Como sincronizar contatos HubSpot com Mailchimp usando Zapier,hubspot-para-mailchimp-zapier,Mantenha HubSpot e Mailchimp sincronizados automaticamente. Marketing unificado via Zapier.,https://zapier.com/apps/hubspot/integrations/mailchimp,New/Updated Contact|Add to Audience|Sync Tags|Update Merge Fields,"crm,hubspot,email,mailchimp,zapier"
zapier,HubSpot,Salesforce,Contact,Migração de dados,Como sincronizar HubSpot com Salesforce usando Zapier,hubspot-para-salesforce-zapier,Integre HubSpot e Salesforce bidirecionalmente. Dados unificados entre CRMs via Zapier.,https://zapier.com/apps/hubspot/integrations/salesforce,Contact Updated|Find/Create in SFDC|Sync Fields|Log Activity,"crm,hubspot,salesforce,zapier"
zapier,Pipedrive,Slack,Deal,Alertas de pipeline,Como notificar deals Pipedrive no Slack usando Zapier,pipedrive-para-slack-zapier,Receba notificações no Slack para mudanças em deals Pipedrive. Transparência de vendas via Zapier.,https://zapier.com/apps/pipedrive/integrations/slack,Deal Updated|Format Message|Post to Channel|Mention Owner,"crm,pipedrive,slack,zapier"
zapier,Pipedrive,Google Sheets,Deal,Relatório de vendas,Como registrar deals Pipedrive no Google Sheets usando Zapier,pipedrive-para-google-sheets-zapier,Automatize relatórios de pipeline Pipedrive em planilhas. Dashboard customizado via Zapier.,https://zapier.com/apps/pipedrive/integrations/google-sheets,Deal Won|Extract Data|Append Row|Calculate Revenue,"crm,pipedrive,dados,zapier"
zapier,Pipedrive,Mailchimp,Contact,Email marketing,Como adicionar contatos Pipedrive no Mailchimp usando Zapier,pipedrive-para-mailchimp-zapier,Sincronize contatos Pipedrive com listas Mailchimp automaticamente. Nutra leads via Zapier.,https://zapier.com/apps/pipedrive/integrations/mailchimp,New Person|Add to Audience|Tag by Stage|Trigger Campaign,"crm,pipedrive,email,mailchimp,zapier"
zapier,Salesforce,Slack,Opportunity,Notificações de pipeline,Como notificar oportunidades Salesforce no Slack usando Zapier,salesforce-para-slack-zapier,Receba alertas no Slack para atualizações de oportunidades Salesforce. Agilidade em vendas via Zapier.,https://zapier.com/apps/salesforce/integrations/slack,Opportunity Updated|Format Details|Post to Channel|Track Stage,"crm,salesforce,slack,zapier"
zapier,Salesforce,Google Sheets,Lead,Backup de leads,Como fazer backup de leads Salesforce no Google Sheets usando Zapier,salesforce-para-google-sheets-zapier,Automatize backup de leads Salesforce em planilhas. Segurança e análise via Zapier.,https://zapier.com/apps/salesforce/integrations/google-sheets,New/Updated Lead|Extract Fields|Append Row|Update Timestamp,"crm,salesforce,dados,zapier"
zapier,Salesforce,Mailchimp,Contact,Sincronização de marketing,Como sincronizar Salesforce com Mailchimp usando Zapier,salesforce-para-mailchimp-zapier,Integre Salesforce e Mailchimp automaticamente. Marketing e vendas alinhados via Zapier.,https://zapier.com/apps/salesforce/integrations/mailchimp,Contact Updated|Add to Audience|Sync Campaign Member|Update Fields,"crm,salesforce,email,mailchimp,zapier"
zapier,RD Station,Slack,Lead,Notificação de leads qualificados,Como notificar leads RD Station no Slack usando Zapier,rd-station-para-slack-leads-qualificados-zapier,Receba alertas no Slack para leads qualificados no RD Station. Vendas ágeis via Zapier.,https://zapier.com/apps/rd-station/integrations/slack,Lead Score Changed|Filter Qualified|Format Message|Post to Sales Channel,"marketing,crm,rd-station,slack,zapier"
zapier,RD Station,Pipedrive,Lead,Passagem de bastão marketing-vendas,Como enviar leads RD Station para Pipedrive usando Zapier,rd-station-para-pipedrive-zapier,Automatize passagem de leads qualificados RD Station para Pipedrive. Funil completo via Zapier.,https://zapier.com/apps/rd-station/integrations/pipedrive,Lead Qualified|Create Person|Create Deal|Assign to Rep,"marketing,crm,rd-station,pipedrive,zapier"
zapier,RD Station,Google Sheets,Lead,Relatório de leads,Como registrar leads RD Station no Google Sheets usando Zapier,rd-station-para-google-sheets-zapier,Automatize relatórios de leads RD Station em planilhas. Análise de marketing via Zapier.,https://zapier.com/apps/rd-station/integrations/google-sheets,New Conversion|Extract Data|Append Row|Calculate Metrics,"marketing,crm,rd-station,dados,zapier"
zapier,Mailchimp,Slack,Email,Notificação de campanhas,Como notificar envios Mailchimp no Slack usando Zapier,mailchimp-para-slack-zapier,Receba alertas no Slack quando campanhas Mailchimp forem enviadas. Acompanhe performance via Zapier.,https://zapier.com/apps/mailchimp/integrations/slack,Campaign Sent|Get Stats|Format Report|Post to Channel,"email,mailchimp,slack,zapier"
zapier,Mailchimp,Google Sheets,Subscriber,Backup de listas,Como fazer backup de assinantes Mailchimp no Google Sheets usando Zapier,mailchimp-para-google-sheets-zapier,Automatize backup de listas Mailchimp em planilhas. Segurança de dados via Zapier.,https://zapier.com/apps/mailchimp/integrations/google-sheets,New Subscriber|Extract Info|Append Row|Sync Changes,"email,mailchimp,dados,zapier"
zapier,Mailchimp,HubSpot,Subscriber,Sincronização de contatos,Como sincronizar Mailchimp com HubSpot usando Zapier,mailchimp-para-hubspot-zapier,Mantenha Mailchimp e HubSpot sincronizados bidirecionalmente. Marketing unificado via Zapier.,https://zapier.com/apps/mailchimp/integrations/hubspot,Subscriber Added|Create/Update Contact|Sync Tags|Update Properties,"email,mailchimp,crm,hubspot,zapier"
zapier,Google Drive,Slack,Arquivo,Notificação de uploads,Como notificar uploads Google Drive no Slack usando Zapier,google-drive-para-slack-zapier,Receba alertas no Slack para novos arquivos no Google Drive. Colaboração ágil via Zapier.,https://zapier.com/apps/google-drive/integrations/slack,New File in Folder|Format Message|Post to Channel|Share Link,"arquivos,google,slack,zapier"
zapier,Google Drive,Trello,Arquivo,Criação de cards com anexos,Como criar cards Trello com arquivos Google Drive usando Zapier,google-drive-para-trello-zapier,Transforme arquivos Drive em cards Trello automaticamente. Organize projetos via Zapier.,https://zapier.com/apps/google-drive/integrations/trello,New File|Create Card|Attach File|Set Due Date,"arquivos,google,trello,zapier"
zapier,Dropbox,Slack,Arquivo,Alertas de compartilhamento,Como notificar uploads Dropbox no Slack usando Zapier,dropbox-para-slack-zapier,Receba notificações no Slack para novos arquivos Dropbox. Transparência de documentos via Zapier.,https://zapier.com/apps/dropbox/integrations/slack,New File|Format Message|Post to Channel|Add Link,"arquivos,dropbox,slack,zapier"
zapier,Dropbox,Google Drive,Arquivo,Backup cross-cloud,Como fazer backup Dropbox no Google Drive usando Zapier,dropbox-para-google-drive-zapier,Automatize backup de arquivos Dropbox para Google Drive. Redundância via Zapier.,https://zapier.com/apps/dropbox/integrations/google-drive,New File|Download|Upload to Drive|Verify Upload,"arquivos,dropbox,google,zapier"
zapier,Airtable,Slack,Record,Notificação de registros,Como notificar novos registros Airtable no Slack usando Zapier,airtable-para-slack-zapier,Receba alertas no Slack para novos registros Airtable. Dados em tempo real via Zapier.,https://zapier.com/apps/airtable/integrations/slack,New Record|Format Message|Post to Channel|Add Details,"banco-dados,airtable,slack,zapier"
zapier,Airtable,Google Sheets,Record,Sincronização de dados,Como sincronizar Airtable com Google Sheets usando Zapier,airtable-para-google-sheets-zapier,Mantenha Airtable e Sheets sincronizados automaticamente. Análise facilitada via Zapier.,https://zapier.com/apps/airtable/integrations/google-sheets,New/Updated Record|Extract Fields|Append/Update Row|Sync Bidirectional,"banco-dados,airtable,dados,zapier"
zapier,Airtable,Trello,Record,Criação de tasks,Como criar cards Trello a partir de Airtable usando Zapier,airtable-para-trello-zapier,Transforme registros Airtable em cards Trello automaticamente. Gestão visual via Zapier.,https://zapier.com/apps/airtable/integrations/trello,New Record|Map Fields|Create Card|Assign Members,"banco-dados,airtable,trello,zapier"
zapier,Notion,Slack,Database,Notificações de páginas,Como notificar novas páginas Notion no Slack usando Zapier,notion-para-slack-zapier,Receba alertas no Slack para atualizações Notion. Conhecimento compartilhado via Zapier.,https://zapier.com/apps/notion/integrations/slack,New Database Item|Format Message|Post to Channel|Share Link,"documentacao,notion,slack,zapier"
zapier,Notion,Google Calendar,Database,Sincronização de eventos,Como sincronizar banco Notion com Google Calendar usando Zapier,notion-para-google-calendar-zapier,Adicione itens Notion ao Google Calendar automaticamente. Calendário editorial via Zapier.,https://zapier.com/apps/notion/integrations/google-calendar,New Item with Date|Create Event|Set Reminder|Update Notion,"documentacao,notion,calendario,zapier"
zapier,Notion,Trello,Database,Sincronização de projetos,Como sincronizar Notion com Trello usando Zapier,notion-para-trello-zapier,Mantenha databases Notion e boards Trello sincronizados. Flexibilidade total via Zapier.,https://zapier.com/apps/notion/integrations/trello,New/Updated Item|Create/Update Card|Sync Status|Add Links,"documentacao,notion,trello,zapier"
zapier,Telegram,Google Drive,Mensagem,Backup de mídia,Como fazer backup de mídia Telegram no Google Drive usando Zapier,telegram-para-google-drive-backup-midia-zapier,Automatize backup de fotos e vídeos Telegram para Drive. Segurança de conteúdo via Zapier.,https://zapier.com/apps/telegram/integrations/google-drive,New Message with Media|Download File|Upload to Drive|Organize Folder,"comunicacao,telegram,arquivos,zapier"
zapier,Telegram,Trello,Mensagem,Criação de tasks por mensagem,Como criar cards Trello via Telegram usando Zapier,telegram-para-trello-zapier,Transforme mensagens Telegram em cards Trello com comando. Gestão mobile via Zapier.,https://zapier.com/apps/telegram/integrations/trello,New Message (Bot)|Parse Command|Create Card|Send Confirmation,"comunicacao,telegram,trello,zapier"
zapier,Telegram,Slack,Mensagem,Bridge entre plataformas,Como conectar Telegram e Slack usando Zapier,telegram-para-slack-zapier,Sincronize conversas entre Telegram e Slack bidirecionalmente. Comunicação unificada via Zapier.,https://zapier.com/apps/telegram/integrations/slack,New Message|Format Content|Post to Channel|Thread Replies,"comunicacao,telegram,slack,zapier"
zapier,Discord,Trello,Mensagem,Gestão de comunidade,Como criar cards Trello de mensagens Discord usando Zapier,discord-para-trello-zapier,Transforme mensagens Discord em tasks Trello. Organize feedback de comunidade via Zapier.,https://zapier.com/apps/discord/integrations/trello,New Message (Reaction)|Create Card|Add Details|Assign Member,"comunicacao,discord,trello,zapier"
zapier,Discord,Slack,Mensagem,Bridge de servidores,Como sincronizar Discord com Slack usando Zapier,discord-para-slack-zapier,Conecte servidores Discord e workspaces Slack bidirecionalmente. Comunicação sem barreiras via Zapier.,https://zapier.com/apps/discord/integrations/slack,New Message|Format Content|Post to Channel|Mirror Threads,"comunicacao,discord,slack,zapier"
zapier,Twitter,Slack,Tweet,Monitoramento de menções,Como notificar menções Twitter no Slack usando Zapier,twitter-para-slack-zapier,Receba alertas no Slack para menções da marca no Twitter. Social listening via Zapier.,https://zapier.com/apps/twitter/integrations/slack,New Mention|Format Tweet|Post to Channel|Add Link,"social-media,twitter,slack,zapier"
zapier,Twitter,Google Sheets,Tweet,Análise de engajamento,Como registrar tweets no Google Sheets usando Zapier,twitter-para-google-sheets-zapier,Automatize coleta de métricas Twitter em planilhas. Análise de social media via Zapier.,https://zapier.com/apps/twitter/integrations/google-sheets,New Tweet (Search)|Extract Metrics|Append Row|Calculate Stats,"social-media,twitter,dados,zapier"
zapier,LinkedIn,Slack,Post,Monitoramento de posts,Como notificar posts LinkedIn no Slack usando Zapier,linkedin-para-slack-zapier,Receba alertas no Slack para novos posts LinkedIn da empresa. Social media management via Zapier.,https://zapier.com/apps/linkedin/integrations/slack,New Company Post|Format Message|Post to Channel|Track Engagement,"social-media,linkedin,slack,zapier"
zapier,Instagram,Slack,Post,Alertas de publicações,Como notificar posts Instagram no Slack usando Zapier,instagram-para-slack-zapier,Receba notificações no Slack para novos posts Instagram. Gestão de social media via Zapier.,https://zapier.com/apps/instagram/integrations/slack,New Media Posted|Format Message|Post to Channel|Add Metrics,"social-media,instagram,slack,zapier"
zapier,YouTube,Slack,Video,Notificações de uploads,Como notificar uploads YouTube no Slack usando Zapier,youtube-para-slack-zapier,Receba alertas no Slack quando vídeos forem publicados no YouTube. Content tracking via Zapier.,https://zapier.com/apps/youtube/integrations/slack,New Video|Format Announcement|Post to Channel|Add Thumbnail,"social-media,youtube,slack,zapier"
zapier,YouTube,Google Sheets,Video,Análise de performance,Como registrar vídeos YouTube no Google Sheets usando Zapier,youtube-para-google-sheets-zapier,Automatize coleta de métricas YouTube em planilhas. Dashboard de analytics via Zapier.,https://zapier.com/apps/youtube/integrations/google-sheets,New Video|Get Analytics|Append Row|Update Stats Daily,"social-media,youtube,dados,zapier"
zapier,WordPress,Twitter,Post,Auto-post em redes sociais,Como publicar posts WordPress no Twitter automaticamente usando Zapier,wordpress-para-twitter-auto-post-zapier,Automatize divulgação de posts WordPress no Twitter. Aumente alcance via Zapier.,https://zapier.com/apps/wordpress/integrations/twitter,New Post Published|Format Tweet|Add Featured Image|Post to Twitter,"cms,wordpress,social-media,zapier"
zapier,WordPress,Slack,Post,Notificações de publicação,Como notificar posts WordPress no Slack usando Zapier,wordpress-para-slack-zapier,Receba alertas no Slack quando posts WordPress forem publicados. Coordenação editorial via Zapier.,https://zapier.com/apps/wordpress/integrations/slack,New Post|Format Message|Post to Channel|Add Link,"cms,wordpress,slack,zapier"
zapier,WordPress,Mailchimp,Post,Email marketing automático,Como enviar posts WordPress via Mailchimp usando Zapier,wordpress-para-mailchimp-zapier,Automatize envio de newsletters com novos posts WordPress. Engajamento de audiência via Zapier.,https://zapier.com/apps/wordpress/integrations/mailchimp,New Post|Format Campaign|Send to List|Track Opens,"cms,wordpress,email,mailchimp,zapier"
zapier,Webflow,Slack,Form,Notificações de formulários,Como notificar submissões Webflow no Slack usando Zapier,webflow-para-slack-zapier,Receba alertas no Slack para formulários Webflow submetidos. Resposta rápida via Zapier.,https://zapier.com/apps/webflow/integrations/slack,New Form Submission|Format Data|Post to Channel|Mention Team,"cms,webflow,slack,zapier"
zapier,Webflow,Google Sheets,Form,Backup de leads,Como registrar leads Webflow no Google Sheets usando Zapier,webflow-para-google-sheets-zapier,Automatize backup de formulários Webflow em planilhas. Análise de conversão via Zapier.,https://zapier.com/apps/webflow/integrations/google-sheets,New Submission|Extract Fields|Append Row|Track Source,"cms,webflow,dados,zapier"
zapier,Webflow,HubSpot,Form,Captura de leads,Como enviar leads Webflow para HubSpot usando Zapier,webflow-para-hubspot-zapier,Integre formulários Webflow com CRM HubSpot automaticamente. Qualificação de leads via Zapier.,https://zapier.com/apps/webflow/integrations/hubspot,New Submission|Create Contact|Set Lifecycle|Add to List,"cms,webflow,crm,hubspot,zapier"
zapier,Zoom,Google Calendar,Meeting,Sincronização de reuniões,Como sincronizar Zoom com Google Calendar usando Zapier,zoom-para-google-calendar-zapier,Adicione reuniões Zoom ao Google Calendar automaticamente. Nunca perca compromissos via Zapier.,https://zapier.com/apps/zoom/integrations/google-calendar,Meeting Scheduled|Create Event|Add Meeting Link|Set Reminder,"videoconferencia,zoom,calendario,zapier"
zapier,Zoom,Slack,Meeting,Notificações de reuniões,Como notificar reuniões Zoom no Slack usando Zapier,zoom-para-slack-zapier,Receba lembretes no Slack antes de reuniões Zoom. Pontualidade garantida via Zapier.,https://zapier.com/apps/zoom/integrations/slack,Meeting Starting|Format Reminder|Post to Channel|Mention Participants,"videoconferencia,zoom,slack,zapier"
zapier,Zoom,HubSpot,Meeting,Registro de interações,Como registrar reuniões Zoom no HubSpot usando Zapier,zoom-para-hubspot-zapier,Automatize registro de meetings Zoom na timeline HubSpot. Histórico completo via Zapier.,https://zapier.com/apps/zoom/integrations/hubspot,Meeting Ended|Find Contact|Log Activity|Attach Recording,"videoconferencia,zoom,crm,hubspot,zapier"
zapier,Google Meet,Slack,Meeting,Alertas de reuniões,Como notificar reuniões Google Meet no Slack usando Zapier,google-meet-para-slack-zapier,Receba lembretes no Slack para reuniões Google Meet. Time sincronizado via Zapier.,https://zapier.com/apps/google-calendar/integrations/slack,Event Starting (with Meet)|Format Message|Post to Channel|Add Link,"videoconferencia,google,slack,zapier"
zapier,Zendesk,Slack,Ticket,Notificações de suporte,Como notificar tickets Zendesk no Slack usando Zapier,zendesk-para-slack-zapier,Receba alertas no Slack para novos tickets Zendesk. Suporte ágil via Zapier.,https://zapier.com/apps/zendesk/integrations/slack,New Ticket|Format Details|Post to Channel|Assign Agent,"suporte,zendesk,slack,zapier"
zapier,Zendesk,Trello,Ticket,Gestão visual de suporte,Como criar cards Trello para tickets Zendesk usando Zapier,zendesk-para-trello-zapier,Transforme tickets Zendesk em cards Trello automaticamente. Kanban de suporte via Zapier.,https://zapier.com/apps/zendesk/integrations/trello,New Ticket|Create Card|Add Details|Set Priority,"suporte,zendesk,trello,zapier"
zapier,Zendesk,Google Sheets,Ticket,Relatórios de atendimento,Como registrar tickets Zendesk no Google Sheets usando Zapier,zendesk-para-google-sheets-zapier,Automatize relatórios de suporte Zendesk em planilhas. Análise de SLA via Zapier.,https://zapier.com/apps/zendesk/integrations/google-sheets,Ticket Solved|Extract Data|Append Row|Calculate Metrics,"suporte,zendesk,dados,zapier"
zapier,Intercom,Slack,Conversation,Notificações de chat,Como notificar conversas Intercom no Slack usando Zapier,intercom-para-slack-zapier,Receba alertas no Slack para novas conversas Intercom. Suporte distribuído via Zapier.,https://zapier.com/apps/intercom/integrations/slack,New Conversation|Format Message|Post to Channel|Assign Agent,"suporte,intercom,slack,zapier"
zapier,Intercom,HubSpot,Contact,Sincronização de usuários,Como sincronizar Intercom com HubSpot usando Zapier,intercom-para-hubspot-zapier,Mantenha Intercom e HubSpot sincronizados bidirecionalmente. Contexto completo de cliente via Zapier.,https://zapier.com/apps/intercom/integrations/hubspot,New/Updated User|Create/Update Contact|Sync Tags|Log Conversations,"suporte,intercom,crm,hubspot,zapier"
zapier,Freshdesk,Slack,Ticket,Alertas de suporte,Como notificar tickets Freshdesk no Slack usando Zapier,freshdesk-para-slack-zapier,Receba notificações no Slack para tickets Freshdesk urgentes. Resposta rápida via Zapier.,https://zapier.com/apps/freshdesk/integrations/slack,New Ticket (Priority)|Format Message|Post to Channel|Mention Agent,"suporte,freshdesk,slack,zapier"
zapier,Freshdesk,Trello,Ticket,Kanban de atendimento,Como gerenciar tickets Freshdesk no Trello usando Zapier,freshdesk-para-trello-zapier,Visualize tickets Freshdesk em boards Trello automaticamente. Gestão visual via Zapier.,https://zapier.com/apps/freshdesk/integrations/trello,New Ticket|Create Card|Set Labels|Move by Status,"suporte,freshdesk,trello,zapier"
